cluster,population,reserved_top100,remaining_capacity,allocated_remainder,selected_library
0,1378,0,1378,138,138
1,2646,0,2646,264,264
2,2548,0,2548,254,254
3,2938,0,2938,293,293
4,1959,1,1958,195,196
5,1801,0,1801,180,180
6,2181,0,2181,218,218
7,1637,0,1637,163,163
8,3886,0,3886,388,388
9,844,0,844,84,84
10,1662,1,1661,166,167
11,1740,0,1740,174,174
12,1679,0,1679,168,168
13,3978,0,3978,397,397
14,3312,0,3312,331,331
15,2149,1,2148,214,215
16,1654,0,1654,165,165
17,1039,0,1039,104,104
18,2582,0,2582,258,258
19,2214,0,2214,221,221
20,1503,1,1502,150,151
21,763,0,763,76,76
22,1792,0,1792,179,179
23,2431,0,2431,243,243
24,3023,0,3023,302,302
25,1642,0,1642,164,164
26,1834,12,1822,182,194
27,2429,0,2429,242,242
28,1872,1,1871,187,188
29,2637,0,2637,263,263
30,1541,0,1541,154,154
31,1494,0,1494,149,149
32,1270,0,1270,127,127
33,1979,0,1979,198,198
34,2170,0,2170,217,217
35,1377,0,1377,137,137
36,2313,3,2310,231,234
37,2504,0,2504,250,250
38,1158,0,1158,116,116
39,704,0,704,70,70
40,2292,0,2292,229,229
41,2126,0,2126,212,212
42,2058,0,2058,205,205
43,1775,0,1775,177,177
44,1158,0,1158,116,116
45,1482,0,1482,148,148
46,1204,0,1204,120,120
47,1088,0,1088,109,109
48,1585,0,1585,158,158
49,2390,0,2390,239,239
50,2457,0,2457,245,245
51,1880,0,1880,188,188
52,3039,0,3039,303,303
53,846,0,846,84,84
54,2607,0,2607,260,260
55,2133,0,2133,213,213
56,2539,0,2539,253,253
57,2759,0,2759,275,275
58,2940,0,2940,293,293
59,1970,0,1970,197,197
60,3318,0,3318,331,331
61,2184,0,2184,218,218
62,1547,0,1547,154,154
63,1645,1,1644,164,165
64,1873,0,1873,187,187
65,2183,0,2183,218,218
66,1068,0,1068,107,107
67,1707,0,1707,170,170
68,2460,0,2460,246,246
69,1605,0,1605,160,160
70,1380,0,1380,138,138
71,3381,0,3381,337,337
72,1370,0,1370,137,137
73,2371,1,2370,237,238
74,1897,0,1897,189,189
75,1752,0,1752,175,175
76,2674,0,2674,267,267
77,3146,0,3146,314,314
78,2141,2,2139,214,216
79,1269,0,1269,127,127
80,2325,0,2325,232,232
81,2590,0,2590,259,259
82,1848,0,1848,184,184
83,1978,0,1978,197,197
84,2040,0,2040,204,204
85,1938,0,1938,193,193
86,2489,1,2488,248,249
87,1520,0,1520,152,152
88,2508,0,2508,250,250
89,2287,0,2287,228,228
90,1755,0,1755,175,175
91,1739,0,1739,174,174
92,1791,0,1791,179,179
93,1768,0,1768,176,176
94,3235,0,3235,323,323
95,2124,0,2124,212,212
96,2943,0,2943,294,294
97,1041,0,1041,104,104
98,2685,0,2685,268,268
99,1779,0,1779,178,178
100,2009,0,2009,201,201
101,2594,1,2593,259,260
102,2316,0,2316,231,231
103,1761,0,1761,176,176
104,2406,1,2405,240,241
105,1463,0,1463,146,146
106,2176,0,2176,217,217
107,4391,0,4391,438,438
108,1898,0,1898,189,189
109,1753,0,1753,175,175
110,666,0,666,66,66
111,2376,0,2376,237,237
112,1619,0,1619,162,162
113,1301,1,1300,130,131
114,1728,0,1728,172,172
115,1775,0,1775,177,177
116,2406,0,2406,240,240
117,1583,1,1582,158,159
118,1796,0,1796,179,179
119,2545,2,2543,254,256
120,1867,0,1867,186,186
121,2177,0,2177,217,217
122,2419,0,2419,241,241
123,1529,0,1529,153,153
124,2353,0,2353,235,235
125,1785,0,1785,178,178
126,2143,0,2143,214,214
127,1966,1,1965,196,197
128,2317,0,2317,231,231
129,1958,0,1958,195,195
130,3276,0,3276,327,327
131,2228,2,2226,222,224
132,1591,4,1587,158,162
133,3174,0,3174,317,317
134,1518,1,1517,151,152
135,2190,0,2190,219,219
136,1602,0,1602,160,160
137,2058,1,2057,205,206
138,2636,3,2633,263,266
139,2071,0,2071,207,207
140,2143,0,2143,214,214
141,1482,0,1482,148,148
142,1446,1,1445,144,145
143,2302,0,2302,230,230
144,2155,0,2155,215,215
145,1356,0,1356,135,135
146,2120,0,2120,212,212
147,2351,0,2351,235,235
148,2943,0,2943,294,294
149,1090,0,1090,109,109
150,2096,0,2096,209,209
151,1619,2,1617,161,163
152,2314,2,2312,231,233
153,1362,0,1362,136,136
154,2205,4,2201,220,224
155,1853,0,1853,185,185
156,1244,2,1242,124,126
157,1415,1,1414,141,142
158,2470,0,2470,247,247
159,1571,0,1571,157,157
160,1260,0,1260,126,126
161,1146,0,1146,114,114
162,1673,0,1673,167,167
163,1716,0,1716,171,171
164,3675,0,3675,367,367
165,1486,2,1484,148,150
166,3176,0,3176,317,317
167,1978,0,1978,197,197
168,1399,0,1399,140,140
169,1397,1,1396,139,140
170,2756,0,2756,275,275
171,2296,0,2296,229,229
172,2489,1,2488,248,249
173,2661,0,2661,266,266
174,1930,0,1930,193,193
175,1503,0,1503,150,150
176,2140,0,2140,214,214
177,1268,0,1268,127,127
178,1737,1,1736,173,174
179,2650,0,2650,265,265
180,2093,0,2093,209,209
181,1286,0,1286,128,128
182,2160,0,2160,216,216
183,1449,0,1449,145,145
184,1301,1,1300,130,131
185,1346,0,1346,134,134
186,2724,0,2724,272,272
187,1947,0,1947,194,194
188,1585,3,1582,158,161
189,1900,0,1900,190,190
190,2262,0,2262,226,226
191,3165,0,3165,316,316
192,1950,0,1950,195,195
193,2000,0,2000,200,200
194,647,0,647,65,65
195,2661,0,2661,266,266
196,255,0,255,25,25
197,1128,0,1128,113,113
198,2076,1,2075,207,208
199,537,0,537,54,54
200,1847,0,1847,184,184
201,705,1,704,70,71
202,3174,0,3174,317,317
203,1911,0,1911,191,191
204,1914,0,1914,191,191
205,2361,0,2361,236,236
206,1526,2,1524,152,154
207,2382,0,2382,238,238
208,1515,0,1515,151,151
209,798,1,797,80,81
210,1895,0,1895,189,189
211,396,0,396,40,40
212,1137,0,1137,113,113
213,2356,0,2356,235,235
214,1951,0,1951,195,195
215,1532,1,1531,153,154
216,1132,0,1132,113,113
217,1001,1,1000,100,101
218,1484,0,1484,148,148
219,2924,0,2924,292,292
220,2690,0,2690,269,269
221,2407,0,2407,240,240
222,1735,0,1735,173,173
223,1523,0,1523,152,152
224,2098,0,2098,209,209
225,2075,2,2073,207,209
226,2276,0,2276,227,227
227,2168,0,2168,216,216
228,1736,0,1736,173,173
229,2830,0,2830,282,282
230,1897,0,1897,189,189
231,1912,4,1908,190,194
232,2178,0,2178,217,217
233,1717,0,1717,171,171
234,1735,0,1735,173,173
235,2338,0,2338,233,233
236,2442,0,2442,244,244
237,1543,0,1543,154,154
238,1920,0,1920,192,192
239,1782,2,1780,178,180
240,2532,0,2532,253,253
241,1125,3,1122,112,115
242,980,0,980,98,98
243,579,0,579,58,58
244,2041,0,2041,204,204
245,1834,0,1834,183,183
246,899,0,899,90,90
247,1137,2,1135,113,115
248,2288,10,2278,227,237
249,1600,0,1600,160,160
250,1375,0,1375,137,137
251,1379,0,1379,138,138
252,1639,3,1636,163,166
253,2170,0,2170,217,217
254,2033,0,2033,203,203
255,1734,3,1731,173,176
